ReviewID,EmployeeID,ReviewDate,PerformanceScore,Reviewer
RE001_2023,E001,2023-12-31,3.9,Raj Mehta
RE001_2024,E001,2024-12-31,3.4,Raj Mehta
RE002_2023,E002,2023-12-31,4.0,Raj Mehta
RE002_2024,E002,2024-12-31,4.6,Nina Patel
RE003_2023,E003,2023-12-31,3.3,Nina Patel
RE003_2024,E003,2024-12-31,3.3,Sarah Lee
RE004_2023,E004,2023-12-31,4.7,David Clark
RE004_2024,E004,2024-12-31,4.1,Nina Patel
RE005_2023,E005,2023-12-31,3.1,Raj Mehta
RE005_2024,E005,2024-12-31,3.9,Sarah Lee
RE006_2023,E006,2023-12-31,3.2,Raj Mehta
RE006_2024,E006,2024-12-31,3.2,Raj Mehta
RE007_2023,E007,2023-12-31,3.7,Nina Patel
RE007_2024,E007,2024-12-31,2.1,David Clark
RE008_2023,E008,2023-12-31,2.2,Raj Mehta
RE008_2024,E008,2024-12-31,3.1,Nina Patel
RE009_2023,E009,2023-12-31,2.7,Sarah Lee
RE009_2024,E009,2024-12-31,3.7,Raj Mehta
RE010_2023,E010,2023-12-31,2.8,Sarah Lee
RE010_2024,E010,2024-12-31,2.4,Nina Patel
RE011_2023,E011,2023-12-31,4.6,Nina Patel
RE011_2024,E011,2024-12-31,3.3,Nina Patel
RE012_2023,E012,2023-12-31,3.6,Nina Patel
RE012_2024,E012,2024-12-31,2.4,Nina Patel
RE013_2023,E013,2023-12-31,3.1,David Clark
RE013_2024,E013,2024-12-31,3.6,Sarah Lee
RE014_2023,E014,2023-12-31,2.6,David Clark
RE014_2024,E014,2024-12-31,3.8,Sarah Lee
RE015_2023,E015,2023-12-31,3.0,Raj Mehta
RE015_2024,E015,2024-12-31,3.3,Raj Mehta
RE016_2023,E016,2023-12-31,3.0,Sarah Lee
RE016_2024,E016,2024-12-31,4.9,Raj Mehta
RE017_2023,E017,2023-12-31,3.5,Raj Mehta
RE017_2024,E017,2024-12-31,2.7,Raj Mehta
RE018_2023,E018,2023-12-31,4.1,David Clark
RE018_2024,E018,2024-12-31,2.6,David Clark
RE019_2023,E019,2023-12-31,3.7,Nina Patel
RE019_2024,E019,2024-12-31,2.0,Sarah Lee
RE020_2023,E020,2023-12-31,2.5,Raj Mehta
RE020_2024,E020,2024-12-31,3.6,Sarah Lee
RE021_2023,E021,2023-12-31,4.1,Nina Patel
RE021_2024,E021,2024-12-31,3.6,Nina Patel
RE022_2023,E022,2023-12-31,3.4,Raj Mehta
RE022_2024,E022,2024-12-31,3.3,Nina Patel
RE023_2023,E023,2023-12-31,2.4,Raj Mehta
RE023_2024,E023,2024-12-31,3.0,Nina Patel
RE024_2023,E024,2023-12-31,3.2,Nina Patel
RE024_2024,E024,2024-12-31,4.3,Raj Mehta
RE025_2023,E025,2023-12-31,3.8,Nina Patel
RE025_2024,E025,2024-12-31,2.2,Nina Patel
RE026_2023,E026,2023-12-31,3.7,Nina Patel
RE026_2024,E026,2024-12-31,3.2,Sarah Lee
RE027_2023,E027,2023-12-31,3.0,David Clark
RE027_2024,E027,2024-12-31,4.0,Sarah Lee
RE028_2023,E028,2023-12-31,4.3,Nina Patel
RE028_2024,E028,2024-12-31,4.2,David Clark
RE029_2023,E029,2023-12-31,2.9,Sarah Lee
RE029_2024,E029,2024-12-31,3.3,Sarah Lee
RE030_2023,E030,2023-12-31,3.7,Sarah Lee
RE030_2024,E030,2024-12-31,4.2,Raj Mehta
RE031_2023,E031,2023-12-31,3.1,Nina Patel
RE031_2024,E031,2024-12-31,3.4,Nina Patel
RE032_2023,E032,2023-12-31,2.7,David Clark
RE032_2024,E032,2024-12-31,2.6,Sarah Lee
RE033_2023,E033,2023-12-31,4.1,Nina Patel
RE033_2024,E033,2024-12-31,4.5,Sarah Lee
RE034_2023,E034,2023-12-31,3.4,Nina Patel
RE034_2024,E034,2024-12-31,4.3,Sarah Lee
RE035_2023,E035,2023-12-31,3.8,Nina Patel
RE035_2024,E035,2024-12-31,3.0,David Clark
RE036_2023,E036,2023-12-31,3.8,Sarah Lee
RE036_2024,E036,2024-12-31,4.7,Nina Patel
RE037_2023,E037,2023-12-31,3.5,David Clark
RE037_2024,E037,2024-12-31,4.7,David Clark
RE038_2023,E038,2023-12-31,1.5,Nina Patel
RE038_2024,E038,2024-12-31,4.1,Sarah Lee
RE039_2023,E039,2023-12-31,3.6,Raj Mehta
RE039_2024,E039,2024-12-31,3.3,David Clark
RE040_2023,E040,2023-12-31,3.6,David Clark
RE040_2024,E040,2024-12-31,2.0,Nina Patel
RE041_2023,E041,2023-12-31,3.3,Raj Mehta
RE041_2024,E041,2024-12-31,3.8,Raj Mehta
RE042_2023,E042,2023-12-31,4.6,Raj Mehta
RE042_2024,E042,2024-12-31,3.1,Nina Patel
RE043_2023,E043,2023-12-31,2.9,Sarah Lee
RE043_2024,E043,2024-12-31,3.1,David Clark
RE044_2023,E044,2023-12-31,4.2,Nina Patel
RE044_2024,E044,2024-12-31,3.7,Raj Mehta
RE045_2023,E045,2023-12-31,3.1,David Clark
RE045_2024,E045,2024-12-31,3.9,David Clark
RE046_2023,E046,2023-12-31,3.6,Raj Mehta
RE046_2024,E046,2024-12-31,4.2,Raj Mehta
RE047_2023,E047,2023-12-31,3.0,David Clark
RE047_2024,E047,2024-12-31,3.3,David Clark
RE048_2023,E048,2023-12-31,3.2,Sarah Lee
RE048_2024,E048,2024-12-31,2.4,Sarah Lee
RE049_2023,E049,2023-12-31,3.7,Nina Patel
RE049_2024,E049,2024-12-31,3.7,David Clark
RE050_2023,E050,2023-12-31,3.5,Sarah Lee
RE050_2024,E050,2024-12-31,3.3,David Clark
RE051_2023,E051,2023-12-31,2.4,Raj Mehta
RE051_2024,E051,2024-12-31,3.2,Sarah Lee
RE052_2023,E052,2023-12-31,3.2,Raj Mehta
RE052_2024,E052,2024-12-31,2.9,Raj Mehta
RE053_2023,E053,2023-12-31,3.4,Raj Mehta
RE053_2024,E053,2024-12-31,3.8,Nina Patel
RE054_2023,E054,2023-12-31,4.9,Raj Mehta
RE054_2024,E054,2024-12-31,3.6,Nina Patel
RE055_2023,E055,2023-12-31,3.7,David Clark
RE055_2024,E055,2024-12-31,3.4,David Clark
RE056_2023,E056,2023-12-31,2.1,Sarah Lee
RE056_2024,E056,2024-12-31,3.5,Sarah Lee
RE057_2023,E057,2023-12-31,3.5,Nina Patel
RE057_2024,E057,2024-12-31,5.0,David Clark
RE058_2023,E058,2023-12-31,3.4,Sarah Lee
RE058_2024,E058,2024-12-31,3.7,Sarah Lee
RE059_2023,E059,2023-12-31,3.5,Sarah Lee
RE059_2024,E059,2024-12-31,2.6,David Clark
RE060_2023,E060,2023-12-31,4.4,Sarah Lee
RE060_2024,E060,2024-12-31,4.1,David Clark
